UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,record_id,equipment_id,equipment_type,equipment_model,hospital_unit,timestamp,air_temperature_k,process_temperature_k,rotational_speed_rpm,torque_nm,tool_wear_min,machine_failure,failure_type,severity,downtime_hours,maintenance_cost_usd,days_since_last_pm,technician_notes
9698,L04859,L,301.6,313.1,1753,40.7,193,0,0,0,0,0,0,REC09698,PAT054,Patient Monitor,Mindray N22,General Ward,2023-11-28 00:00:00,301.6,313.1,1753,40.7,193,0,No Failure,Low,0.0,0,122,Calibration verified. Sensor readings within tolerance.
9699,L04860,L,299.0,309.5,1579,49.2,28,0,0,0,0,0,0,REC09699,VEN054,Ventilator,Drager Evita V500,ICU,2023-09-19 00:00:00,299.0,309.5,1579,49.2,28,0,No Failure,Low,0.0,0,45,Preventive maintenance performed. Equipment functioning within specifications.
9700,L04861,L,298.8,309.8,1168,38.6,160,0,0,0,0,0,0,REC09700,INF056,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-12-27 00:00:00,298.8,309.8,1168,38.6,160,0,No Failure,Low,0.0,0,112,Calibration verified. Sensor readings within tolerance.
9701,L04862,L,301.4,310.7,1532,41.6,181,0,0,0,0,0,0,REC09701,PAT054,Patient Monitor,Mindray N22,Cardiology,2024-03-30 00:00:00,301.4,310.7,1532,41.6,181,0,No Failure,Low,0.0,0,66,Preventive maintenance performed. Equipment functioning within specifications.
9702,L04863,L,298.3,310.3,1402,42.9,175,0,0,0,0,0,0,REC09702,VEN054,Ventilator,Drager Evita V500,ICU,2024-09-22 00:00:00,298.3,310.3,1402,42.9,175,0,No Failure,Low,0.0,0,132,Scheduled check completed. No anomalies detected.
9703,H01902,H,298.2,310.2,1532,45.7,67,0,0,0,0,0,0,REC09703,CT032,CT Scanner,GE Revolution CT,Emergency,2023-02-02 00:00:00,298.2,310.2,1532,45.7,67,0,No Failure,Medium,0.0,0,16,Preventive maintenance performed. Equipment functioning within specifications.
9704,L04864,L,302.1,312.5,1888,49.5,223,0,0,0,0,0,0,REC09704,PAT054,Patient Monitor,Mindray N22,ICU,2024-01-19 00:00:00,302.1,312.5,1888,49.5,223,0,No Failure,Low,0.0,0,51,Scheduled check completed. No anomalies detected.
9705,L04865,L,300.2,311.4,1657,30.5,143,0,0,0,0,0,0,REC09705,VEN054,Ventilator,Drager Evita V500,ICU,2024-08-19 00:00:00,300.2,311.4,1657,30.5,143,0,No Failure,Low,0.0,0,116,Calibration verified. Sensor readings within tolerance.
9706,L04866,L,297.1,306.8,1615,47.0,231,0,0,0,0,0,0,REC09706,INF056,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-08-13 00:00:00,297.1,306.8,1615,47.0,231,0,No Failure,Low,0.0,0,109,Scheduled check completed. No anomalies detected.
9707,M02939,M,301.7,310.4,1490,38.2,112,0,0,0,0,0,0,REC09707,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2024-06-05 00:00:00,301.7,310.4,1490,38.2,112,0,No Failure,Medium,0.0,0,152,Routine inspection completed. All parameters normal.
9708,H01903,H,299.2,310.0,1582,46.4,86,0,0,0,0,0,0,REC09708,MRI033,MRI,Siemens MAGNETOM Vida,Radiology,2023-05-01 00:00:00,299.2,310.0,1582,46.4,86,0,No Failure,Medium,0.0,0,144,Scheduled check completed. No anomalies detected.
9709,M02940,M,297.2,306.3,1355,54.8,227,0,0,0,0,0,0,REC09709,ICU032,ICU Device,Nellcor PM1000N,Emergency,2024-02-04 00:00:00,297.2,306.3,1355,54.8,227,0,No Failure,Medium,0.0,0,2,Routine inspection completed. All parameters normal.
9710,M02941,M,295.0,306.3,1610,18.9,206,0,0,0,0,0,0,REC09710,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2023-03-16 00:00:00,295.0,306.3,1610,18.9,206,0,No Failure,Low,0.0,0,16,Calibration verified. Sensor readings within tolerance.
9711,H01904,H,301.8,312.9,1461,52.1,21,0,0,0,0,0,0,REC09711,CT032,CT Scanner,Siemens SOMATOM Drive,Radiology,2024-08-08 00:00:00,301.8,312.9,1461,52.1,21,0,No Failure,Medium,0.0,0,64,Routine inspection completed. All parameters normal.
9712,L04867,L,298.3,308.5,1335,38.8,110,0,0,0,0,0,0,REC09712,INF056,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-04-05 00:00:00,298.3,308.5,1335,38.8,110,0,No Failure,Low,0.0,0,173,Preventive maintenance performed. Equipment functioning within specifications.
9713,H01905,H,297.5,307.7,1663,31.4,19,0,0,0,0,0,0,REC09713,CT032,CT Scanner,Canon Aquilion Prime,Oncology,2023-05-22 00:00:00,297.5,307.7,1663,31.4,19,0,No Failure,Medium,0.0,0,86,Scheduled check completed. No anomalies detected.
9714,M02942,M,301.3,312.3,1168,35.6,220,0,0,0,0,0,0,REC09714,ULT035,Ultrasound,GE LOGIQ E10,General Ward,2024-06-14 00:00:00,301.3,312.3,1168,35.6,220,0,No Failure,Medium,0.0,0,161,Routine inspection completed. All parameters normal.
9715,L04868,L,301.6,311.9,1391,29.7,121,0,0,0,0,0,0,REC09715,INF056,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2024-06-09 00:00:00,301.6,311.9,1391,29.7,121,0,No Failure,Low,0.0,0,10,Routine inspection completed. All parameters normal.
9716,L04869,L,298.4,308.0,1622,45.1,66,0,0,0,0,0,0,REC09716,PAT054,Patient Monitor,Mindray N22,ICU,2023-02-08 00:00:00,298.4,308.0,1622,45.1,66,0,No Failure,Low,0.0,0,174,Calibration verified. Sensor readings within tolerance.
9717,L04870,L,301.8,310.3,1744,29.7,17,0,0,0,0,0,0,REC09717,VEN054,Ventilator,Drager Evita V500,ICU,2023-03-07 00:00:00,301.8,310.3,1744,29.7,17,0,No Failure,Low,0.0,0,11,Scheduled check completed. No anomalies detected.
9718,L04871,L,304.0,315.0,1594,52.0,74,0,0,0,0,0,0,REC09718,INF056,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-05-27 00:00:00,304.0,315.0,1594,52.0,74,0,No Failure,Low,0.0,0,146,Routine inspection completed. All parameters normal.
9719,H01906,H,302.7,313.1,1365,46.9,92,0,0,0,0,0,0,REC09719,CT032,CT Scanner,Canon Aquilion Prime,Oncology,2023-02-21 00:00:00,302.7,313.1,1365,46.9,92,0,No Failure,Medium,0.0,0,158,Calibration verified. Sensor readings within tolerance.
9720,L04872,L,302.4,314.4,1489,42.3,245,0,0,0,0,0,0,REC09720,VEN054,Ventilator,Drager Evita V500,ICU,2024-01-28 00:00:00,302.4,314.4,1489,42.3,245,0,No Failure,Low,0.0,0,53,Scheduled check completed. No anomalies detected.
9721,M02943,M,300.6,310.5,1558,19.6,250,0,0,0,0,0,0,REC09721,ICU032,ICU Device,Nellcor PM1000N,Emergency,2024-10-04 00:00:00,300.6,310.5,1558,19.6,250,0,No Failure,Medium,0.0,0,54,Routine inspection completed. All parameters normal.
9722,H01907,H,299.1,309.4,1812,26.8,117,0,0,0,0,0,0,REC09722,MRI033,MRI,Philips Ingenia 3T,Oncology,2023-02-15 00:00:00,299.1,309.4,1812,26.8,117,0,No Failure,Medium,0.0,0,105,Routine inspection completed. All parameters normal.
9723,L04873,L,299.9,310.2,1684,39.2,231,0,0,0,0,0,0,REC09723,VEN054,Ventilator,Drager Evita V500,ICU,2024-03-24 00:00:00,299.9,310.2,1684,39.2,231,0,No Failure,Low,0.0,0,130,Scheduled check completed. No anomalies detected.
9724,L04874,L,300.9,311.5,1685,39.7,202,0,0,0,0,0,0,REC09724,INF056,Infusion Pump,Baxter Sigma Spectrum,ICU,2023-11-06 00:00:00,300.9,311.5,1685,39.7,202,0,No Failure,Low,0.0,0,21,Preventive maintenance performed. Equipment functioning within specifications.
9725,M02944,M,297.5,306.5,1513,49.4,194,0,0,0,0,0,0,REC09725,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2024-09-02 00:00:00,297.5,306.5,1513,49.4,194,0,No Failure,Low,0.0,0,42,Scheduled check completed. No anomalies detected.
9726,H01908,H,298.5,308.4,1285,10.9,68,0,0,0,0,0,0,REC09726,MRI033,MRI,Siemens MAGNETOM Vida,Radiology,2023-12-18 00:00:00,298.5,308.4,1285,10.9,68,0,No Failure,Medium,0.0,0,136,Scheduled check completed. No anomalies detected.
9727,L04875,L,297.1,308.0,1218,32.4,187,0,0,0,0,0,0,REC09727,INF056,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2024-05-03 00:00:00,297.1,308.0,1218,32.4,187,0,No Failure,Low,0.0,0,146,Preventive maintenance performed. Equipment functioning within specifications.
9728,L04876,L,300.5,310.1,1439,48.4,250,0,0,0,0,0,0,REC09728,PAT054,Patient Monitor,Mindray N22,ICU,2024-11-03 00:00:00,300.5,310.1,1439,48.4,250,0,No Failure,Low,0.0,0,27,Routine inspection completed. All parameters normal.
9729,M02945,M,300.2,311.0,1639,36.6,212,0,0,0,0,0,0,REC09729,ULT035,Ultrasound,GE LOGIQ E10,Cardiology,2023-04-10 00:00:00,300.2,311.0,1639,36.6,212,0,No Failure,Low,0.0,0,161,Scheduled check completed. No anomalies detected.
9730,H01909,H,298.7,308.8,1399,35.3,137,0,0,0,0,0,0,REC09730,MRI033,MRI,GE SIGNA Premier,Neurology,2023-08-19 00:00:00,298.7,308.8,1399,35.3,137,0,No Failure,Medium,0.0,0,156,Preventive maintenance performed. Equipment functioning within specifications.
9731,L04877,L,301.6,312.0,1614,23.9,0,0,0,0,0,0,0,REC09731,PAT054,Patient Monitor,Mindray N22,Emergency,2023-07-16 00:00:00,301.6,312.0,1614,23.9,0,0,No Failure,Low,0.0,0,157,Preventive maintenance performed. Equipment functioning within specifications.
9732,L04878,L,297.9,309.1,1341,50.6,95,0,0,0,0,0,0,REC09732,VEN054,Ventilator,Drager Evita V500,ICU,2023-05-04 00:00:00,297.9,309.1,1341,50.6,95,0,No Failure,Low,0.0,0,43,Calibration verified. Sensor readings within tolerance.
9733,H01910,H,298.6,308.4,1371,35.2,165,0,0,0,0,0,0,REC09733,CT032,CT Scanner,GE Revolution CT,Emergency,2024-04-17 00:00:00,298.6,308.4,1371,35.2,165,0,No Failure,Medium,0.0,0,121,Routine inspection completed. All parameters normal.
9734,L04879,L,301.6,310.1,1781,50.9,35,0,0,0,0,0,0,REC09734,PAT054,Patient Monitor,Mindray N22,General Ward,2023-01-06 00:00:00,301.6,310.1,1781,50.9,35,0,No Failure,Low,0.0,0,29,Scheduled check completed. No anomalies detected.
9735,L04880,L,301.9,311.6,1653,54.7,102,0,0,0,0,0,0,REC09735,VEN054,Ventilator,Drager Evita V500,ICU,2023-10-09 00:00:00,301.9,311.6,1653,54.7,102,0,No Failure,Low,0.0,0,35,Preventive maintenance performed. Equipment functioning within specifications.
9736,M02946,M,298.4,307.6,1438,53.2,179,0,0,0,0,0,0,REC09736,ICU032,ICU Device,Nellcor PM1000N,Emergency,2023-03-30 00:00:00,298.4,307.6,1438,53.2,179,0,No Failure,Low,0.0,0,12,Routine inspection completed. All parameters normal.
9737,L04881,L,300.5,308.5,1333,39.7,225,1,0,0,0,0,1,REC09737,PAT054,Patient Monitor,Mindray N22,Cardiology,2024-03-25 00:00:00,300.5,308.5,1333,39.7,225,1,Random Failure,Medium,1.3,1670,89,Unclassified failure. Complete system diagnostic performed.
9738,L04882,L,298.4,308.3,1689,35.2,177,0,0,0,0,0,0,REC09738,VEN054,Ventilator,Drager Evita V500,ICU,2024-07-02 00:00:00,298.4,308.3,1689,35.2,177,0,No Failure,Low,0.0,0,128,Scheduled check completed. No anomalies detected.
9739,M02947,M,299.6,309.8,1675,34.5,154,0,0,0,0,0,0,REC09739,ICU032,ICU Device,Nellcor PM1000N,Emergency,2023-12-07 00:00:00,299.6,309.8,1675,34.5,154,0,No Failure,Low,0.0,0,35,Preventive maintenance performed. Equipment functioning within specifications.
9740,M02948,M,300.3,311.3,1627,59.7,57,0,0,0,0,0,0,REC09740,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2023-11-21 00:00:00,300.3,311.3,1627,59.7,57,0,No Failure,Low,0.0,0,33,Calibration verified. Sensor readings within tolerance.
9741,M02949,M,301.1,310.0,1464,37.9,169,0,0,0,0,0,0,REC09741,ULT035,Ultrasound,GE LOGIQ E10,Cardiology,2023-11-25 00:00:00,301.1,310.0,1464,37.9,169,0,No Failure,Low,0.0,0,50,Calibration verified. Sensor readings within tolerance.
9742,L04883,L,300.6,310.7,1281,50.5,212,0,0,0,0,0,0,REC09742,INF056,Infusion Pump,Baxter Sigma Spectrum,General Ward,2023-05-26 00:00:00,300.6,310.7,1281,50.5,212,0,No Failure,Low,0.0,0,35,Calibration verified. Sensor readings within tolerance.
9743,M02950,M,300.5,311.7,1497,44.8,110,0,0,0,0,0,0,REC09743,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2023-10-02 00:00:00,300.5,311.7,1497,44.8,110,0,No Failure,Low,0.0,0,150,Routine inspection completed. All parameters normal.
9744,M02951,M,297.8,307.3,1781,35.9,224,0,0,0,0,0,0,REC09744,ULT035,Ultrasound,GE LOGIQ E10,Radiology,2024-11-12 00:00:00,297.8,307.3,1781,35.9,224,0,No Failure,Low,0.0,0,30,Scheduled check completed. No anomalies detected.
9745,H01911,H,300.8,311.3,1318,37.5,85,0,0,0,0,0,0,REC09745,CT032,CT Scanner,GE Revolution CT,Emergency,2023-01-31 00:00:00,300.8,311.3,1318,37.5,85,0,No Failure,Medium,0.0,0,50,Scheduled check completed. No anomalies detected.
9746,M02952,M,301.1,312.7,1509,51.8,160,0,0,0,0,0,0,REC09746,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2024-07-28 00:00:00,301.1,312.7,1509,51.8,160,0,No Failure,Medium,0.0,0,55,Scheduled check completed. No anomalies detected.
9747,M02953,M,301.4,309.5,1827,40.3,212,0,0,0,0,0,0,REC09747,ULT035,Ultrasound,GE LOGIQ E10,Emergency,2023-05-01 00:00:00,301.4,309.5,1827,40.3,212,0,No Failure,Low,0.0,0,36,Preventive maintenance performed. Equipment functioning within specifications.
9748,H01912,H,298.6,308.8,1439,35.5,224,0,0,0,0,0,0,REC09748,MRI033,MRI,GE SIGNA Premier,Neurology,2023-03-25 00:00:00,298.6,308.8,1439,35.5,224,0,No Failure,Medium,0.0,0,170,Calibration verified. Sensor readings within tolerance.
9749,H01913,H,301.8,313.0,1474,31.9,118,0,0,0,0,0,0,REC09749,CT032,CT Scanner,Canon Aquilion Prime,Oncology,2023-07-28 00:00:00,301.8,313.0,1474,31.9,118,0,No Failure,Medium,0.0,0,37,Scheduled check completed. No anomalies detected.
9750,L04884,L,297.4,307.0,1229,43.2,116,0,0,0,0,0,0,REC09750,VEN054,Ventilator,Drager Evita V500,ICU,2023-07-16 00:00:00,297.4,307.0,1229,43.2,116,0,No Failure,Low,0.0,0,88,Preventive maintenance performed. Equipment functioning within specifications.
9751,H01914,H,299.1,310.5,1624,34.8,239,0,0,0,0,0,0,REC09751,CT032,CT Scanner,GE Revolution CT,Emergency,2023-08-19 00:00:00,299.1,310.5,1624,34.8,239,0,No Failure,Medium,0.0,0,102,Preventive maintenance performed. Equipment functioning within specifications.
9752,H01915,H,299.4,310.1,1351,45.9,118,0,0,0,0,0,0,REC09752,MRI033,MRI,Philips Ingenia 3T,Oncology,2024-09-12 00:00:00,299.4,310.1,1351,45.9,118,0,No Failure,Medium,0.0,0,47,Scheduled check completed. No anomalies detected.
9753,L04885,L,297.5,309.2,1189,65.4,0,0,0,0,0,0,0,REC09753,VEN054,Ventilator,Drager Evita V500,ICU,2024-10-22 00:00:00,297.5,309.2,1189,65.4,0,0,No Failure,Low,0.0,0,85,Preventive maintenance performed. Equipment functioning within specifications.
9754,L04886,L,299.4,310.0,1309,45.2,122,0,0,0,0,0,0,REC09754,INF056,Infusion Pump,Baxter Sigma Spectrum,General Ward,2024-05-20 00:00:00,299.4,310.0,1309,45.2,122,0,No Failure,Low,0.0,0,30,Calibration verified. Sensor readings within tolerance.
9755,M02954,M,300.4,312.3,1541,58.0,152,0,0,0,0,0,0,REC09755,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2023-04-17 00:00:00,300.4,312.3,1541,58.0,152,0,No Failure,Low,0.0,0,87,Preventive maintenance performed. Equipment functioning within specifications.
9756,L04887,L,296.3,306.6,1183,32.9,188,0,0,0,0,0,0,REC09756,VEN054,Ventilator,Drager Evita V500,ICU,2024-11-21 00:00:00,296.3,306.6,1183,32.9,188,0,No Failure,Low,0.0,0,3,Scheduled check completed. No anomalies detected.
9757,M02955,M,299.2,307.8,1222,46.8,20,0,0,0,0,0,0,REC09757,ICU032,ICU Device,Nellcor PM1000N,Emergency,2024-09-10 00:00:00,299.2,307.8,1222,46.8,20,0,No Failure,Medium,0.0,0,79,Scheduled check completed. No anomalies detected.
9758,M02956,M,296.5,305.9,1611,52.6,145,0,0,0,0,0,0,REC09758,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2023-02-25 00:00:00,296.5,305.9,1611,52.6,145,0,No Failure,Low,0.0,0,66,Routine inspection completed. All parameters normal.
9759,L04888,L,304.0,315.0,1485,53.8,154,0,0,0,0,0,0,REC09759,VEN054,Ventilator,Drager Evita V500,ICU,2023-10-10 00:00:00,304.0,315.0,1485,53.8,154,0,No Failure,Low,0.0,0,63,Scheduled check completed. No anomalies detected.
9760,L04889,L,300.4,311.4,1317,52.8,171,0,0,0,0,0,0,REC09760,INF056,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-07-20 00:00:00,300.4,311.4,1317,52.8,171,0,No Failure,Low,0.0,0,19,Calibration verified. Sensor readings within tolerance.
9761,H01916,H,300.3,309.9,1435,40.2,68,0,0,0,0,0,0,REC09761,CT032,CT Scanner,Canon Aquilion Prime,Oncology,2023-03-07 00:00:00,300.3,309.9,1435,40.2,68,0,No Failure,Medium,0.0,0,180,Preventive maintenance performed. Equipment functioning within specifications.
9762,L04890,L,300.5,312.3,1847,48.9,193,0,0,0,0,0,0,REC09762,VEN054,Ventilator,Drager Evita V500,ICU,2023-02-25 00:00:00,300.5,312.3,1847,48.9,193,0,No Failure,Low,0.0,0,4,Calibration verified. Sensor readings within tolerance.
9763,M02957,M,301.2,310.9,1756,29.8,199,0,0,0,0,0,0,REC09763,ICU032,ICU Device,Nellcor PM1000N,Emergency,2024-03-18 00:00:00,301.2,310.9,1756,29.8,199,0,No Failure,Medium,0.0,0,26,Calibration verified. Sensor readings within tolerance.
9764,L04891,L,302.0,312.4,1478,56.1,34,0,0,0,0,0,0,REC09764,PAT054,Patient Monitor,Mindray N22,ICU,2023-09-03 00:00:00,302.0,312.4,1478,56.1,34,0,No Failure,Low,0.0,0,18,Routine inspection completed. All parameters normal.
9765,L04892,L,296.9,307.3,1663,30.5,195,0,0,0,0,0,0,REC09765,VEN054,Ventilator,Drager Evita V500,ICU,2023-11-19 00:00:00,296.9,307.3,1663,30.5,195,0,No Failure,Low,0.0,0,176,Preventive maintenance performed. Equipment functioning within specifications.
9766,M02958,M,302.6,311.3,1524,52.5,155,0,0,0,0,0,0,REC09766,ICU032,ICU Device,Nellcor PM1000N,Emergency,2024-07-01 00:00:00,302.6,311.3,1524,52.5,155,0,No Failure,Low,0.0,0,57,Calibration verified. Sensor readings within tolerance.
9767,L04893,L,302.5,312.4,1168,50.4,110,0,0,0,0,0,0,REC09767,PAT054,Patient Monitor,Mindray N22,Emergency,2024-02-02 00:00:00,302.5,312.4,1168,50.4,110,0,No Failure,Low,0.0,0,78,Scheduled check completed. No anomalies detected.
9768,M02959,M,299.9,311.9,1168,50.4,197,0,0,0,0,0,0,REC09768,ULT035,Ultrasound,GE LOGIQ E10,Radiology,2024-06-03 00:00:00,299.9,311.9,1168,50.4,197,0,No Failure,Low,0.0,0,135,Scheduled check completed. No anomalies detected.
9769,M02960,M,299.8,308.8,1318,60.7,32,0,0,0,0,0,0,REC09769,ICU032,ICU Device,Nellcor PM1000N,Emergency,2023-04-03 00:00:00,299.8,308.8,1318,60.7,32,0,No Failure,Low,0.0,0,9,Calibration verified. Sensor readings within tolerance.
9770,L04894,L,295.0,305.6,1184,50.5,90,0,0,0,0,0,0,REC09770,PAT054,Patient Monitor,Mindray N22,General Ward,2023-01-02 00:00:00,295.0,305.6,1184,50.5,90,0,No Failure,Low,0.0,0,12,Scheduled check completed. No anomalies detected.
9771,L04895,L,297.5,306.4,1554,26.7,225,0,0,0,0,0,0,REC09771,VEN054,Ventilator,Drager Evita V500,ICU,2023-07-03 00:00:00,297.5,306.4,1554,26.7,225,0,No Failure,Low,0.0,0,33,Calibration verified. Sensor readings within tolerance.
9772,M02961,M,301.0,310.1,1390,45.9,36,0,0,0,0,0,0,REC09772,ICU032,ICU Device,Nellcor PM1000N,Emergency,2023-05-28 00:00:00,301.0,310.1,1390,45.9,36,0,No Failure,Medium,0.0,0,122,Calibration verified. Sensor readings within tolerance.
9773,M02962,M,302.4,311.0,1585,21.1,234,0,0,0,0,0,0,REC09773,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2023-08-25 00:00:00,302.4,311.0,1585,21.1,234,0,No Failure,Medium,0.0,0,177,Calibration verified. Sensor readings within tolerance.
9774,M02963,M,301.5,312.4,1588,39.1,159,0,0,0,0,0,0,REC09774,ULT035,Ultrasound,GE LOGIQ E10,General Ward,2024-07-22 00:00:00,301.5,312.4,1588,39.1,159,0,No Failure,Low,0.0,0,112,Calibration verified. Sensor readings within tolerance.
9775,M02964,M,299.8,309.0,1638,35.8,1,0,0,0,0,0,0,REC09775,ICU032,ICU Device,Nellcor PM1000N,Emergency,2023-04-21 00:00:00,299.8,309.0,1638,35.8,1,0,No Failure,Medium,0.0,0,157,Calibration verified. Sensor readings within tolerance.
9776,L04896,L,303.9,315.1,1313,46.4,39,0,0,0,0,0,0,REC09776,PAT055,Patient Monitor,Mindray N22,ICU,2023-04-03 00:00:00,303.9,315.1,1313,46.4,39,0,No Failure,Low,0.0,0,159,Routine inspection completed. All parameters normal.
9777,L04897,L,302.0,311.5,1603,31.8,13,0,0,0,0,0,0,REC09777,VEN054,Ventilator,Drager Evita V500,ICU,2023-05-27 00:00:00,302.0,311.5,1603,31.8,13,0,No Failure,Low,0.0,0,50,Routine inspection completed. All parameters normal.
9778,M02965,M,299.2,309.3,1308,32.1,195,0,0,0,0,0,0,REC09778,ICU032,ICU Device,Nellcor PM1000N,Emergency,2023-08-27 00:00:00,299.2,309.3,1308,32.1,195,0,No Failure,Low,0.0,0,33,Calibration verified. Sensor readings within tolerance.
9779,M02966,M,304.0,314.4,1642,45.0,64,0,0,0,0,0,0,REC09779,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2023-05-25 00:00:00,304.0,314.4,1642,45.0,64,0,No Failure,Low,0.0,0,28,Routine inspection completed. All parameters normal.
9780,H01917,H,297.8,306.2,1744,51.7,144,0,0,0,0,0,0,REC09780,MRI033,MRI,Siemens MAGNETOM Vida,Radiology,2023-05-15 00:00:00,297.8,306.2,1744,51.7,144,0,No Failure,Medium,0.0,0,143,Preventive maintenance performed. Equipment functioning within specifications.
9781,L04898,L,297.1,307.3,1644,40.0,215,0,0,0,0,0,0,REC09781,INF056,Infusion Pump,Baxter Sigma Spectrum,Oncology,2024-02-28 00:00:00,297.1,307.3,1644,40.0,215,0,No Failure,Low,0.0,0,121,Scheduled check completed. No anomalies detected.
9782,M02967,M,299.2,309.5,1464,63.2,228,0,0,0,0,0,0,REC09782,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2023-03-23 00:00:00,299.2,309.5,1464,63.2,228,0,No Failure,Low,0.0,0,156,Preventive maintenance performed. Equipment functioning within specifications.
9783,M02968,M,298.5,309.6,1613,36.6,212,0,0,0,0,0,0,REC09783,ULT035,Ultrasound,GE LOGIQ E10,Emergency,2023-04-23 00:00:00,298.5,309.6,1613,36.6,212,0,No Failure,Low,0.0,0,91,Scheduled check completed. No anomalies detected.
9784,L04899,L,299.3,308.3,1193,46.8,127,0,0,0,0,0,0,REC09784,INF056,Infusion Pump,Baxter Sigma Spectrum,ICU,2024-09-02 00:00:00,299.3,308.3,1193,46.8,127,0,No Failure,Low,0.0,0,176,Preventive maintenance performed. Equipment functioning within specifications.
9785,M02969,M,301.6,310.8,1168,43.4,36,0,0,0,0,0,0,REC09785,LAB033,Lab Analyzer,Beckman AU5800,General Ward,2023-01-14 00:00:00,301.6,310.8,1168,43.4,36,0,No Failure,Low,0.0,0,161,Scheduled check completed. No anomalies detected.
9786,M02970,M,299.9,310.6,1593,36.6,87,0,0,0,0,0,0,REC09786,ULT035,Ultrasound,GE LOGIQ E10,General Ward,2023-02-14 00:00:00,299.9,310.6,1593,36.6,87,0,No Failure,Low,0.0,0,146,Routine inspection completed. All parameters normal.
9787,L04900,L,300.0,311.4,1761,53.1,84,0,0,0,0,0,0,REC09787,INF056,Infusion Pump,Baxter Sigma Spectrum,Cardiology,2023-02-20 00:00:00,300.0,311.4,1761,53.1,84,0,No Failure,Low,0.0,0,145,Calibration verified. Sensor readings within tolerance.
9788,L04901,L,300.1,309.5,1253,31.1,250,0,0,0,0,0,0,REC09788,PAT055,Patient Monitor,Mindray N22,ICU,2024-01-27 00:00:00,300.1,309.5,1253,31.1,250,0,No Failure,Low,0.0,0,22,Preventive maintenance performed. Equipment functioning within specifications.
9789,L04902,L,295.4,304.1,1503,19.2,204,0,0,0,0,0,0,REC09789,VEN054,Ventilator,Drager Evita V500,ICU,2024-05-22 00:00:00,295.4,304.1,1503,19.2,204,0,No Failure,Low,0.0,0,134,Calibration verified. Sensor readings within tolerance.
9790,H01918,H,297.0,306.7,1587,38.7,81,0,0,0,0,0,0,REC09790,MRI033,MRI,GE SIGNA Premier,Neurology,2024-05-20 00:00:00,297.0,306.7,1587,38.7,81,0,No Failure,Medium,0.0,0,171,Routine inspection completed. All parameters normal.
9791,L04903,L,299.2,308.2,1377,37.4,104,0,0,0,0,0,0,REC09791,PAT055,Patient Monitor,Mindray N22,Emergency,2024-05-18 00:00:00,299.2,308.2,1377,37.4,104,0,No Failure,Low,0.0,0,52,Calibration verified. Sensor readings within tolerance.
9792,L04904,L,298.3,308.7,1432,50.6,68,0,0,0,0,0,0,REC09792,VEN054,Ventilator,Drager Evita V500,ICU,2023-02-12 00:00:00,298.3,308.7,1432,50.6,68,0,No Failure,Low,0.0,0,147,Calibration verified. Sensor readings within tolerance.
9793,L04905,L,299.5,308.5,1622,27.5,102,0,0,0,0,0,0,REC09793,INF056,Infusion Pump,Baxter Sigma Spectrum,Oncology,2023-09-09 00:00:00,299.5,308.5,1622,27.5,102,0,No Failure,Low,0.0,0,63,Routine inspection completed. All parameters normal.
9794,L04906,L,302.8,313.8,1521,45.2,20,0,0,0,0,0,0,REC09794,PAT055,Patient Monitor,Mindray N22,General Ward,2024-04-07 00:00:00,302.8,313.8,1521,45.2,20,0,No Failure,Low,0.0,0,38,Routine inspection completed. All parameters normal.
9795,L04907,L,299.9,310.1,1522,44.0,211,1,1,0,0,0,0,REC09795,VEN054,Ventilator,Drager Evita V500,ICU,2024-05-12 00:00:00,299.9,310.1,1522,44.0,211,1,Tool Wear Failure,High,11.5,6343,132,Component wear detected. Replacement scheduled per protocol.
9796,M02971,M,297.4,308.4,1303,43.2,134,0,0,0,0,0,0,REC09796,ICU032,ICU Device,Nellcor PM1000N,Emergency,2023-09-01 00:00:00,297.4,308.4,1303,43.2,134,0,No Failure,Low,0.0,0,29,Scheduled check completed. No anomalies detected.
9797,L04908,L,298.4,306.4,1493,50.4,153,0,0,0,0,0,0,REC09797,PAT055,Patient Monitor,Mindray N22,Cardiology,2024-09-10 00:00:00,298.4,306.4,1493,50.4,153,0,No Failure,Low,0.0,0,87,Routine inspection completed. All parameters normal.
